dist,x,y,height,dsm,dtm
137.1631793,243303.6429,80496.75858,21.591208,251.089996,229.480896
138.3456205,243304.2735,80495.75832,23.282238,252.740005,229.467453
139.5280617,243304.9041,80494.75807,20.122671,249.600006,229.538284
140.7105029,243305.5347,80493.75781,25.598722,255.149994,229.527145
141.8929441,243306.1653,80492.75755,26.40596,255.960007,229.560089
143.0753853,243306.7959,80491.75729,26.294943,255.990005,229.660446
144.2578265,243307.4265,80490.75704,25.500088,255.179993,229.682388
145.4402677,243308.0571,80489.75678,25.170538,254.839996,229.696487
146.6227089,243308.6877,80488.75652,29.956688,259.809998,229.795959
147.8051501,243309.3183,80487.75626,31.73992,261.630005,229.869766
148.9875913,243309.9488,80486.75601,30.535877,260.519989,229.982224
150.1700325,243310.5794,80485.75575,28.152941,258.170013,229.97551
151.3524737,243311.21,80484.75549,24.488371,254.419998,229.939713
152.5349149,243311.8406,80483.75524,24.603401,254.580002,230.016296
153.7173561,243312.4712,80482.75498,21.154917,251.119995,229.893066
154.8997973,243313.1018,80481.75472,25.355204,255.22084,229.80629
156.0822385,243313.7324,80480.75446,27.278845,257.140015,229.852203
157.2646797,243314.363,80479.75421,28.245419,258.070007,229.799484
158.4471209,243314.9936,80478.75395,28.03834,257.850006,229.838303
159.6295621,243315.6242,80477.75369,23.6294,253.369995,229.766296
160.8120033,243316.2548,80476.75343,35.591026,265.369995,229.745972
161.9944445,243316.8854,80475.75318,36.358398,266.170013,229.815079
163.1768857,243317.516,80474.75292,32.741291,262.610626,229.820404
164.3593269,243318.1466,80473.75266,39.572029,269.540009,229.910355
165.5417682,243318.7772,80472.75241,39.394543,269.459991,230.13298
166.7242094,243319.4078,80471.75215,39.676373,270.100006,230.41362
167.9066506,243320.0384,80470.75189,40.020401,270.619995,230.62677
169.0890918,243320.669,80469.75163,39.452534,269.970001,230.654816
170.271533,243321.2996,80468.75138,39.55336,269.600006,230.155319
171.4539742,243321.9302,80467.75112,40.40358,270.350006,229.936966
172.6364154,243322.5608,80466.75086,41.009407,270.709991,229.632904
